,RIAGENDR,RIDAGEMN,RIDRETH1,HIGHEST_EDUCATION,RETIRED
960,2.0,8.0,1.0,ELEMENTARY,0.0
963,1.0,3.0,3.0,ELEMENTARY,0.0
968,2.0,38.0,3.0,ELEMENTARY,0.0
969,1.0,3.0,1.0,ELEMENTARY,0.0
973,1.0,32.0,3.0,ELEMENTARY,0.0
974,1.0,3.0,4.0,ELEMENTARY,0.0
978,1.0,14.0,5.0,ELEMENTARY,0.0
979,2.0,23.0,4.0,ELEMENTARY,0.0
989,1.0,20.0,1.0,ELEMENTARY,0.0
992,1.0,15.0,4.0,ELEMENTARY,0.0
994,1.0,13.0,3.0,ELEMENTARY,0.0
998,1.0,9.0,4.0,ELEMENTARY,0.0
999,2.0,1.0,1.0,ELEMENTARY,0.0
1001,2.0,11.0,1.0,ELEMENTARY,0.0
1012,2.0,22.0,4.0,ELEMENTARY,0.0
1017,1.0,5.0,1.0,ELEMENTARY,0.0
1020,2.0,71.0,3.0,ELEMENTARY,0.0
1029,2.0,1068.0,3.0,HIGHSCHOOL,1.0
1030,2.0,13.0,1.0,ELEMENTARY,0.0
1032,2.0,49.0,4.0,ELEMENTARY,0.0
1033,1.0,5.0,3.0,ELEMENTARY,0.0
1039,2.0,236.0,4.0,HIGHSCHOOL,0.0
1042,2.0,355.0,1.0,OTHERS,0.0
1043,1.0,24.0,3.0,ELEMENTARY,0.0
1044,2.0,58.0,3.0,ELEMENTARY,0.0
1047,1.0,22.0,2.0,ELEMENTARY,0.0
1057,2.0,47.0,3.0,ELEMENTARY,0.0
1060,2.0,24.0,1.0,ELEMENTARY,0.0
1062,1.0,312.0,3.0,OTHERS,0.0
1065,2.0,11.0,1.0,ELEMENTARY,0.0
1067,1.0,844.0,5.0,OTHERS,1.0
1080,1.0,545.0,4.0,ELEMENTARY,0.0
1082,2.0,3.0,1.0,ELEMENTARY,0.0
1088,2.0,29.0,5.0,ELEMENTARY,0.0
1095,1.0,5.397605346934028e-79,4.0,ELEMENTARY,0.0
1097,2.0,1068.0,3.0,ELEMENTARY,1.0
1100,1.0,60.0,3.0,ELEMENTARY,0.0
1104,1.0,206.0,3.0,ELEMENTARY,0.0
1105,1.0,43.0,1.0,ELEMENTARY,0.0
1106,2.0,55.0,3.0,ELEMENTARY,0.0
1108,2.0,47.0,4.0,ELEMENTARY,0.0
1110,1.0,30.0,3.0,ELEMENTARY,0.0
1120,2.0,15.0,1.0,ELEMENTARY,0.0
1125,1.0,22.0,3.0,ELEMENTARY,0.0
1126,1.0,29.0,3.0,ELEMENTARY,0.0
1131,2.0,1.0,1.0,ELEMENTARY,0.0
1133,1.0,12.0,3.0,ELEMENTARY,0.0
1136,1.0,23.0,4.0,ELEMENTARY,0.0
1137,1.0,1.0,3.0,ELEMENTARY,0.0
1147,2.0,8.0,4.0,ELEMENTARY,0.0
1150,1.0,65.0,1.0,ELEMENTARY,0.0
1155,2.0,3.0,4.0,ELEMENTARY,0.0
1162,2.0,54.0,5.0,ELEMENTARY,0.0
1170,1.0,333.0,5.0,OTHERS,0.0
1172,2.0,20.0,1.0,ELEMENTARY,0.0
1180,1.0,20.0,3.0,ELEMENTARY,0.0
1181,2.0,128.0,4.0,ELEMENTARY,0.0
1195,1.0,11.0,1.0,ELEMENTARY,0.0
1196,2.0,57.0,2.0,ELEMENTARY,0.0
1200,1.0,887.0,3.0,OTHERS,1.0
1205,1.0,61.0,1.0,ELEMENTARY,0.0
1208,2.0,592.0,2.0,OTHERS,0.0
1209,1.0,8.0,3.0,ELEMENTARY,0.0
1213,1.0,47.0,3.0,ELEMENTARY,0.0
1214,2.0,11.0,1.0,ELEMENTARY,0.0
1220,2.0,21.0,4.0,ELEMENTARY,0.0
1221,2.0,5.397605346934028e-79,1.0,ELEMENTARY,0.0
1224,1.0,12.0,3.0,ELEMENTARY,0.0
1226,1.0,66.0,1.0,ELEMENTARY,0.0
1238,1.0,26.0,2.0,ELEMENTARY,0.0
1239,2.0,35.0,1.0,ELEMENTARY,0.0
1244,1.0,1.0,3.0,ELEMENTARY,0.0
1245,1.0,237.0,3.0,ELEMENTARY,0.0
1247,1.0,5.397605346934028e-79,1.0,ELEMENTARY,0.0
1249,2.0,54.0,1.0,ELEMENTARY,0.0
1252,1.0,145.0,4.0,ELEMENTARY,0.0
1260,2.0,1.0,3.0,ELEMENTARY,0.0
1270,2.0,61.0,1.0,ELEMENTARY,0.0
1271,2.0,17.0,4.0,ELEMENTARY,0.0
1275,1.0,35.0,4.0,ELEMENTARY,0.0
1283,1.0,4.0,1.0,ELEMENTARY,0.0
1285,1.0,6.0,1.0,ELEMENTARY,0.0
1286,2.0,18.0,1.0,ELEMENTARY,0.0
1288,1.0,54.0,3.0,ELEMENTARY,0.0
1291,2.0,47.0,3.0,ELEMENTARY,0.0
1294,2.0,62.0,3.0,ELEMENTARY,0.0
1295,2.0,11.0,4.0,ELEMENTARY,0.0
1298,2.0,50.0,4.0,ELEMENTARY,0.0
1299,1.0,13.0,3.0,ELEMENTARY,0.0
1305,1.0,12.0,1.0,ELEMENTARY,0.0
1308,1.0,50.0,3.0,ELEMENTARY,0.0
1319,2.0,18.0,1.0,ELEMENTARY,0.0
1322,2.0,2.0,1.0,ELEMENTARY,0.0
1323,1.0,9.0,1.0,ELEMENTARY,0.0
1324,2.0,46.0,2.0,ELEMENTARY,0.0
1330,2.0,51.0,4.0,ELEMENTARY,0.0
1336,1.0,675.0,4.0,HIGHSCHOOL,0.0
1339,2.0,28.0,1.0,ELEMENTARY,0.0
1341,2.0,65.0,4.0,ELEMENTARY,0.0
1343,2.0,488.0,2.0,ELEMENTARY,0.0
1344,2.0,71.0,5.0,ELEMENTARY,0.0
1346,1.0,13.0,4.0,ELEMENTARY,0.0
1355,1.0,123.0,5.0,ELEMENTARY,0.0
1359,1.0,4.0,1.0,ELEMENTARY,0.0
1360,1.0,64.0,3.0,ELEMENTARY,0.0
1365,2.0,2.0,5.0,ELEMENTARY,0.0
1369,2.0,10.0,1.0,ELEMENTARY,0.0
1380,2.0,279.0,3.0,HIGHSCHOOL,0.0
1383,1.0,54.0,4.0,ELEMENTARY,0.0
1385,1.0,1.0,2.0,ELEMENTARY,0.0
1398,2.0,8.0,1.0,ELEMENTARY,0.0
1406,2.0,4.0,1.0,ELEMENTARY,0.0
1408,2.0,51.0,4.0,ELEMENTARY,0.0
1409,2.0,56.0,1.0,ELEMENTARY,0.0
1415,1.0,71.0,4.0,ELEMENTARY,0.0
1418,1.0,9.0,3.0,ELEMENTARY,0.0
1419,2.0,182.0,2.0,ELEMENTARY,0.0
1420,1.0,6.0,1.0,ELEMENTARY,0.0
1427,2.0,59.0,1.0,ELEMENTARY,0.0
1430,1.0,3.0,3.0,ELEMENTARY,0.0
1434,1.0,56.0,1.0,ELEMENTARY,0.0
1435,1.0,31.0,1.0,ELEMENTARY,0.0
1436,1.0,51.0,2.0,ELEMENTARY,0.0
1441,2.0,48.0,3.0,ELEMENTARY,0.0
1442,1.0,26.0,2.0,ELEMENTARY,0.0
1444,1.0,5.397605346934028e-79,4.0,ELEMENTARY,0.0
1452,2.0,21.0,3.0,ELEMENTARY,0.0
1455,2.0,405.0,1.0,HIGHSCHOOL,0.0
1457,2.0,7.0,3.0,ELEMENTARY,0.0
1460,1.0,10.0,1.0,ELEMENTARY,0.0
1463,1.0,33.0,3.0,ELEMENTARY,0.0
1466,1.0,34.0,1.0,ELEMENTARY,0.0
1468,1.0,64.0,3.0,ELEMENTARY,0.0
1480,1.0,71.0,1.0,ELEMENTARY,0.0
1481,1.0,2.0,3.0,ELEMENTARY,0.0
1484,2.0,400.0,4.0,ELEMENTARY,0.0
1485,1.0,44.0,3.0,ELEMENTARY,0.0
1490,2.0,25.0,1.0,ELEMENTARY,0.0
1501,2.0,25.0,1.0,ELEMENTARY,0.0
1506,1.0,1.0,3.0,ELEMENTARY,0.0
1510,2.0,63.0,1.0,ELEMENTARY,0.0
1531,1.0,3.0,1.0,ELEMENTARY,0.0
1532,2.0,57.0,3.0,ELEMENTARY,0.0
1537,1.0,25.0,5.0,ELEMENTARY,0.0
1540,1.0,16.0,4.0,ELEMENTARY,0.0
1542,2.0,15.0,2.0,ELEMENTARY,0.0
1551,1.0,66.0,3.0,ELEMENTARY,0.0
1552,2.0,64.0,4.0,ELEMENTARY,0.0
1555,1.0,15.0,1.0,ELEMENTARY,0.0
1567,2.0,1068.0,3.0,HIGHSCHOOL,1.0
1572,1.0,66.0,4.0,ELEMENTARY,0.0
1574,1.0,20.0,3.0,ELEMENTARY,0.0
1575,2.0,6.0,1.0,ELEMENTARY,0.0
1578,2.0,16.0,3.0,ELEMENTARY,0.0
1580,2.0,34.0,4.0,ELEMENTARY,0.0
1596,1.0,130.0,4.0,ELEMENTARY,0.0
1601,2.0,8.0,1.0,ELEMENTARY,0.0
1609,2.0,31.0,1.0,ELEMENTARY,0.0
1613,2.0,16.0,1.0,ELEMENTARY,0.0
1625,1.0,43.0,3.0,ELEMENTARY,0.0
1627,1.0,67.0,4.0,ELEMENTARY,0.0
1630,2.0,336.0,3.0,COLLEGE,0.0
1637,1.0,46.0,4.0,ELEMENTARY,0.0
1639,1.0,59.0,1.0,ELEMENTARY,0.0
1645,2.0,47.0,1.0,ELEMENTARY,0.0
1647,1.0,33.0,3.0,ELEMENTARY,0.0
1653,1.0,10.0,3.0,ELEMENTARY,0.0
1655,1.0,5.397605346934028e-79,1.0,ELEMENTARY,0.0
1657,2.0,1010.0,3.0,ELEMENTARY,1.0
1665,2.0,748.0,1.0,ELEMENTARY,0.0
1666,1.0,31.0,1.0,ELEMENTARY,0.0
1668,2.0,292.0,4.0,HIGHSCHOOL,0.0
1671,2.0,19.0,1.0,ELEMENTARY,0.0
1678,2.0,57.0,1.0,ELEMENTARY,0.0
1684,2.0,31.0,1.0,ELEMENTARY,0.0
1689,1.0,10.0,4.0,ELEMENTARY,0.0
1691,1.0,33.0,4.0,ELEMENTARY,0.0
1701,1.0,1.0,3.0,ELEMENTARY,0.0
1707,1.0,6.0,1.0,ELEMENTARY,0.0
1716,1.0,8.0,3.0,ELEMENTARY,0.0
1717,1.0,57.0,1.0,ELEMENTARY,0.0
1719,2.0,6.0,3.0,ELEMENTARY,0.0
1724,1.0,60.0,3.0,ELEMENTARY,0.0
1725,2.0,6.0,5.0,ELEMENTARY,0.0
1726,2.0,7.0,5.0,ELEMENTARY,0.0
1729,2.0,427.0,3.0,HIGHSCHOOL,0.0
1733,2.0,13.0,3.0,ELEMENTARY,0.0
1734,1.0,71.0,4.0,ELEMENTARY,0.0
1735,2.0,11.0,3.0,ELEMENTARY,0.0
1736,1.0,29.0,4.0,ELEMENTARY,0.0
1737,1.0,66.0,4.0,ELEMENTARY,0.0
1745,1.0,9.0,5.0,ELEMENTARY,0.0
1756,1.0,224.0,1.0,ELEMENTARY,0.0
1759,1.0,38.0,1.0,ELEMENTARY,0.0
1769,1.0,28.0,4.0,ELEMENTARY,0.0
1771,1.0,24.0,1.0,ELEMENTARY,0.0
1780,1.0,1.0,1.0,ELEMENTARY,0.0
1785,2.0,16.0,1.0,ELEMENTARY,0.0
1806,2.0,65.0,1.0,ELEMENTARY,0.0
1809,1.0,48.0,4.0,ELEMENTARY,0.0
1815,1.0,27.0,1.0,ELEMENTARY,0.0
1822,1.0,28.0,4.0,ELEMENTARY,0.0
1824,1.0,1.0,5.0,ELEMENTARY,0.0
1826,1.0,223.0,1.0,ELEMENTARY,0.0
1830,1.0,1.0,1.0,ELEMENTARY,0.0
1834,2.0,10.0,1.0,ELEMENTARY,0.0
1840,2.0,33.0,4.0,ELEMENTARY,0.0
1841,2.0,3.0,3.0,ELEMENTARY,0.0
1843,1.0,7.0,5.0,ELEMENTARY,0.0
1847,1.0,31.0,1.0,ELEMENTARY,0.0
1863,2.0,24.0,4.0,ELEMENTARY,0.0
1868,2.0,55.0,1.0,ELEMENTARY,0.0
1877,2.0,702.0,3.0,HIGHSCHOOL,0.0
1882,2.0,28.0,4.0,ELEMENTARY,0.0
1883,1.0,301.0,1.0,ELEMENTARY,0.0
1885,1.0,693.0,3.0,COLLEGE,0.0
1889,2.0,216.0,3.0,ELEMENTARY,0.0
1891,1.0,25.0,1.0,ELEMENTARY,0.0
1892,2.0,9.0,3.0,ELEMENTARY,0.0
1894,1.0,35.0,3.0,ELEMENTARY,0.0
1898,1.0,5.397605346934028e-79,1.0,ELEMENTARY,0.0
1900,1.0,40.0,4.0,ELEMENTARY,0.0
1905,2.0,21.0,3.0,ELEMENTARY,0.0
1908,1.0,6.0,4.0,ELEMENTARY,0.0
1911,1.0,3.0,1.0,ELEMENTARY,0.0
1918,1.0,5.397605346934028e-79,3.0,ELEMENTARY,0.0
1925,1.0,24.0,3.0,ELEMENTARY,0.0
1927,1.0,37.0,1.0,ELEMENTARY,0.0
1937,1.0,3.0,5.0,ELEMENTARY,0.0
1941,1.0,7.0,3.0,ELEMENTARY,0.0
1947,1.0,4.0,1.0,ELEMENTARY,0.0
1951,2.0,2.0,1.0,ELEMENTARY,0.0
1956,1.0,41.0,5.0,ELEMENTARY,0.0
1960,2.0,41.0,3.0,ELEMENTARY,0.0
1962,1.0,28.0,4.0,ELEMENTARY,0.0
1964,1.0,3.0,4.0,ELEMENTARY,0.0
1971,1.0,3.0,3.0,ELEMENTARY,0.0
1975,2.0,43.0,1.0,ELEMENTARY,0.0
1985,1.0,60.0,4.0,ELEMENTARY,0.0
1991,2.0,32.0,1.0,ELEMENTARY,0.0
1992,2.0,57.0,4.0,ELEMENTARY,0.0
1999,1.0,717.0,3.0,OTHERS,0.0
2002,1.0,18.0,3.0,ELEMENTARY,0.0
2006,2.0,165.0,4.0,ELEMENTARY,0.0
2011,2.0,4.0,3.0,ELEMENTARY,0.0
2015,2.0,19.0,3.0,ELEMENTARY,0.0
2020,1.0,55.0,4.0,ELEMENTARY,0.0
2021,1.0,14.0,1.0,ELEMENTARY,0.0
2022,2.0,6.0,3.0,ELEMENTARY,0.0
2023,1.0,16.0,3.0,ELEMENTARY,0.0
2024,1.0,36.0,2.0,ELEMENTARY,0.0
2028,1.0,69.0,2.0,ELEMENTARY,0.0
2030,1.0,16.0,1.0,ELEMENTARY,0.0
2032,1.0,20.0,1.0,ELEMENTARY,0.0
2037,2.0,45.0,4.0,ELEMENTARY,0.0
2053,1.0,39.0,2.0,ELEMENTARY,0.0
2067,2.0,1.0,1.0,ELEMENTARY,0.0
2072,2.0,7.0,4.0,ELEMENTARY,0.0
2077,1.0,1.0,3.0,ELEMENTARY,0.0
2078,1.0,54.0,4.0,ELEMENTARY,0.0
2083,1.0,61.0,3.0,ELEMENTARY,0.0
2085,1.0,7.0,1.0,ELEMENTARY,0.0
2091,1.0,31.0,3.0,ELEMENTARY,0.0
2107,1.0,62.0,1.0,ELEMENTARY,0.0
2121,2.0,4.0,3.0,ELEMENTARY,0.0
2123,2.0,15.0,1.0,ELEMENTARY,0.0
2125,2.0,9.0,4.0,ELEMENTARY,0.0
2128,2.0,20.0,4.0,ELEMENTARY,0.0
2131,2.0,54.0,1.0,ELEMENTARY,0.0
2137,1.0,245.0,3.0,HIGHSCHOOL,0.0
2140,1.0,24.0,2.0,ELEMENTARY,0.0
2141,2.0,772.0,3.0,OTHERS,0.0
2142,2.0,97.0,4.0,ELEMENTARY,0.0
2146,2.0,462.0,3.0,COLLEGE,0.0
2149,1.0,181.0,1.0,ELEMENTARY,0.0
2161,2.0,31.0,1.0,ELEMENTARY,0.0
2165,1.0,55.0,5.0,ELEMENTARY,0.0
2166,2.0,21.0,1.0,ELEMENTARY,0.0
2170,2.0,7.0,1.0,ELEMENTARY,0.0
2171,1.0,199.0,4.0,ELEMENTARY,0.0
2172,1.0,6.0,3.0,ELEMENTARY,0.0
2174,2.0,7.0,3.0,ELEMENTARY,0.0
2177,1.0,8.0,3.0,ELEMENTARY,0.0
2183,1.0,16.0,1.0,ELEMENTARY,0.0
2186,2.0,44.0,4.0,ELEMENTARY,0.0
2187,2.0,21.0,1.0,ELEMENTARY,0.0
2191,2.0,45.0,3.0,ELEMENTARY,0.0
2195,2.0,9.0,5.0,ELEMENTARY,0.0
2199,1.0,7.0,3.0,ELEMENTARY,0.0
2206,1.0,54.0,1.0,ELEMENTARY,0.0
2207,2.0,176.0,4.0,ELEMENTARY,0.0
2209,1.0,11.0,1.0,ELEMENTARY,0.0
2212,2.0,59.0,3.0,ELEMENTARY,0.0
2213,2.0,30.0,1.0,ELEMENTARY,0.0
2214,1.0,62.0,4.0,ELEMENTARY,0.0
2215,2.0,10.0,4.0,ELEMENTARY,0.0
2216,2.0,2.0,1.0,ELEMENTARY,0.0
